261: [1, 0.0]
262: [1, 0.00022259176198598658]
263: [1, 0.041715105290507176]
264: [1, 0.14444034203683837]
265: [1, 0.43138707323208364]
266: [1, 0.9348221425079681]
267: [1, 1.6776297270065497]
268: [1, 2.38601630046854]
269: [1, 3.499314150294132]
270: [1, 4.777422698369643]
271: [1, 6.180765684589946]
272: [1, 7.283251404849459]
273: [1, 8.845166012469193]
274: [1, 10.485962228562736]
275: [1, 12.172989249800464]
276: [1, 13.509210245091609]
277: [1, 15.345781770457663]
278: [1, 17.20992625327691]
279: [2, 9.880677910227114]
280: [2, 11.0539365889326]
281: [2, 12.436278034084534]
282: [2, 13.523955340855682]
283: [2, 14.309259282350027]
284: [2, 14.75223993812849]
285: [2, 15.25007628485416]
286: [2, 15.732032504555965]
287: [2, 16.23357204450477]
288: [2, 16.621498998988844]
289: [2, 17.139288858434455]
290: [2, 17.64588663020392]
291: [2, 18.15710631668766]
292: [2, 18.558116129045562]
293: [2, 19.121917217291337]
294: [2, 19.690787530586775]
295: [2, 20.386198930558244]
296: [2, 20.87753871562379]
297: [2, 21.491470262501945]
298: [2, 22.057947335444695]
299: [2, 22.577237489231187]
300: [1, 0.0]
301: [1, 0.0]
302: [1, 0.0]
303: [1, 0.0]
304: [1, 0.0]
305: [1, 0.006826254501170202]
306: [1, 0.04561438288481738]
307: [1, 0.12365968335837395]
308: [1, 0.21293764110463728]
309: [1, 0.3805595980942965]
310: [1, 0.612176546609168]
311: [1, 0.9158023541487054]
312: [1, 1.1945540975500144]
313: [1, 1.6377659908452507]
314: [1, 2.1650299281527134]
315: [1, 2.777126909712658]
316: [1, 3.2914101470362747]
317: [1, 4.049013006030485]
318: [1, 4.885672686322276]
319: [1, 5.7968690651681865]
320: [1, 6.5258263295312515]
321: [1, 7.55324175045631]
322: [1, 8.63714566491213]
323: [1, 9.769059410577242]
324: [1, 10.643829847993379]
325: [1, 11.836273638011676]
326: [1, 13.047958801895005]
327: [1, 14.266087003723074]
328: [1, 15.175335879505118]
329: [1, 16.369170738823552]
330: [1, 17.525881690520162]
331: [1, 18.62687385135585]
332: [1, 19.404479210990612]
