1: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
3: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
4: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
5: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
6: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
7: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
8: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
9: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
10: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
11: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
12: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
13: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
14: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
15: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
16: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
17: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
18: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
19: [0.0, 0.0, 0.0, 1.0666666666666629, 0.0, 0.0, 0.0, 0.0, 0.0]
20: [0.0, 0.0, 0.0, 1.86666666666666, 0.0, 0.0, 0.0, 0.0, 0.0]
21: [0.0, 0.0, 0.7999999999999972, 2.933333333333323, 0.0, 0.0, 0.0, 0.0, 0.0]
22: [0.0, 0.0, 1.86666666666666, 3.999999999999986, 0.5333333333333314, 0.0, 0.0, 0.0, 0.0]
23: [0.0, 0.7999999999999972, 2.933333333333323, 5.066666666666649, 0.5333333333333314, 0.5333333333333314, 0.0, 0.0, 0.0]
24: [0.2666666666666657, 1.86666666666666, 3.999999999999986, 6.1333333333333115, 0.5333333333333314, 0.5333333333333314, 0.0, 0.0, 0.0]
25: [1.0666666666666629, 2.666666666666657, 4.799999999999983, 6.933333333333309, 0.7999999999999972, 0.7999999999999972, 0.0, 0.0, 0.0]
26: [2.1333333333333258, 3.73333333333332, 5.866666666666646, 7.999999999999972, 1.0666666666666629, 1.0666666666666629, 0.0, 0.0, 0.0]
27: [3.1999999999999886, 4.799999999999983, 6.933333333333309, 9.066666666666634, 1.0666666666666629, 1.0666666666666629, 0.0, 0.0, 0.0]
28: [4.2666666666666515, 5.866666666666646, 7.999999999999972, 10.133333333333297, 1.0666666666666629, 1.0666666666666629, 0.0, 0.0, 0.0]
29: [5.066666666666649, 6.666666666666643, 8.799999999999969, 10.933333333333294, 1.0666666666666629, 1.0666666666666629, 0.0, 0.0, 0.0]
30: [6.1333333333333115, 7.733333333333306, 9.866666666666632, 11.999999999999957, 1.0666666666666629, 1.0666666666666629, 0.0, 0.0, 0.0]
31: [7.199999999999974, 8.799999999999969, 10.933333333333294, 13.06666666666662, 1.0666666666666629, 1.0666666666666629, 0.0, 0.0, 0.0]
32: [8.266666666666637, 9.866666666666632, 11.999999999999957, 14.133333333333283, 1.5999999999999943, 1.0666666666666629, 0.0, 0.0, 0.0]
33: [9.066666666666634, 10.666666666666629, 12.799999999999955, 14.93333333333328, 1.5999999999999943, 1.0666666666666629, 0.0, 0.0, 0.0]
34: [10.133333333333297, 11.733333333333292, 13.866666666666617, 15.999999999999943, 1.5999999999999943, 1.0666666666666629, 0.0, 0.0, 0.0]
35: [11.19999999999996, 12.799999999999955, 14.93333333333328, 17.066666666666606, 1.5999999999999943, 1.0666666666666629, 0.0, 0.0, 0.0]
36: [12.266666666666623, 13.866666666666617, 15.999999999999943, 18.13333333333327, 2.1333333333333258, 1.3333333333333286, 0.0, 0.0, 0.0]
37: [13.06666666666662, 14.666666666666615, 16.79999999999994, 18.933333333333266, 2.1333333333333258, 1.3333333333333286, 0.0, 0.0, 0.0]
38: [14.133333333333283, 15.733333333333277, 17.866666666666603, 19.99999999999993, 2.1333333333333258, 1.3333333333333286, 0.0, 0.0, 0.0]
39: [15.199999999999946, 16.79999999999994, 18.933333333333266, 21.066666666666592, 2.1333333333333258, 1.3333333333333286, 0.0, 0.0, 0.0]
40: [16.26666666666661, 17.866666666666603, 19.99999999999993, 22.133333333333255, 2.3999999999999915, 1.3333333333333286, 0.0, 0.0, 0.0]
41: [17.066666666666606, 18.6666666666666, 20.799999999999926, 22.933333333333252, 2.3999999999999915, 1.3333333333333286, 0.0, 0.0, 0.0]
42: [17.866666666666603, 19.199999999999932, 21.86666666666659, 23.999999999999915, 2.3999999999999915, 1.3333333333333286, 0.0, 0.0, 0.0]
43: [17.866666666666603, 19.199999999999932, 22.933333333333252, 25.066666666666578, 2.3999999999999915, 1.3333333333333286, 0.0, 0.0, 0.0]
44: [17.866666666666603, 19.199999999999932, 23.999999999999915, 26.13333333333324, 2.666666666666657, 1.5999999999999943, 0.0, 0.0, 0.0]
45: [17.866666666666603, 19.733333333333263, 24.799999999999912, 26.933333333333238, 2.666666666666657, 1.5999999999999943, 0.0, 0.0, 0.0]
